Term,Year,Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Academic Program Code
Spring,2019,120191 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,25,14,11,0,21,0,1,1,0,0,1,0,1,2,0,0,1,15,10,10KS0030MSU
Spring,2019,120191 ,KL ,802 ,MS ,4026 ,Bioinformatics ,5100 ,Crop Science ,4,3,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,4,10KS5100MS
Spring,2019,120191 ,KL ,802 ,NDEG ,0063 ,Horticulture ,  ,  ,4,2,2,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,4,1PKL0063NDEU
Spring,2019,120191 ,KL ,802 ,PHD ,0030 ,Crop Sciences ,  ,  ,51,30,21,0,18,0,1,1,0,0,0,30,1,1,0,0,0,14,37,10KS0030PHD
Spring,2019,120191 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,42,24,18,0,36,1,2,2,0,0,0,1,0,2,0,0,1,39,3,10KL0051BS
Spring,2019,120191 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,10KL0057BS
Spring,2019,120191 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5239 ,Humn Dimnsns of the Environmnt ,58,17,41,0,32,3,3,10,0,0,2,8,0,4,0,0,5,48,10,10KL0051BS
Spring,2019,120191 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5240 ,Resrce Cons & Restoration Ecol ,52,24,28,0,36,5,0,6,0,0,1,4,0,1,0,0,6,45,7,10KL0051BS
Spring,2019,120191 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5241 ,Globl Chg & Landscape Dynamics ,11,2,9,0,8,0,0,1,0,0,1,1,0,0,0,0,1,10,1,10KL0051BS
Spring,2019,120191 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5685 ,Environmental Science & Mgmt ,31,15,16,0,12,1,1,5,0,0,0,12,0,1,0,0,1,19,12,10KL0051BS
Spring,2019,120191 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5686 ,Ecosys Stewardhip Rest Ecol ,9,3,6,0,7,0,0,1,0,0,0,1,0,0,0,0,1,7,2,10KL0051BS
Spring,2019,120191 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5687 ,Fish Wildlife Conserve Biol ,31,11,20,0,20,2,2,6,0,0,0,1,0,2,0,0,2,30,1,10KL0051BS
Spring,2019,120191 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,49,21,28,0,38,1,1,1,0,0,1,7,0,1,1,0,2,16,33,10KS0190MS
Spring,2019,120191 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,36,18,18,0,32,0,0,3,0,0,0,0,1,0,1,0,0,21,15,10KS0190MSU
Spring,2019,120191 ,KL ,875 ,PHD ,0190 ,Natural Res & Env Sciences ,  ,  ,39,24,15,0,27,0,0,0,0,0,1,11,0,0,1,0,0,14,25,10KS0190PHD
Spring,2019,120191 ,KL ,971 ,MS ,0191 ,Nutritional Sciences ,  ,  ,16,6,10,0,6,3,0,6,0,0,0,1,0,0,1,0,3,7,9,10KS0191MS
Spring,2019,120191 ,KL ,971 ,PHD ,0191 ,Nutritional Sciences ,  ,  ,28,4,24,0,13,4,2,2,0,0,2,5,0,2,0,0,6,7,21,10KS0191PHD
Spring,2019,120191 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,89,61,28,0,33,7,6,4,0,0,4,35,0,7,2,0,10,40,49,10KS9875MBA
Spring,2019,120191 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,4064 ,MBA ,114,71,43,0,70,13,8,8,1,0,2,11,1,9,2,0,15,106,8,10KS4064MBA
Spring,2019,120191 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,5468 ,Corp Governance & Int Business ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KS9875MBA
Spring,2019,120191 ,KM ,260 ,BS ,0075 ,Finance ,  ,  ,651,460,191,0,379,138,15,54,0,0,10,48,7,15,5,2,149,537,114,10KM0075BS
Spring,2019,120191 ,KM ,260 ,BS ,0075 ,Finance ,  ,  ,4,4,0,0,0,2,0,1,0,0,1,0,0,0,0,0,3,4,0,10KM8037BS
Spring,2019,120191 ,KM ,260 ,MS ,5624 ,Finance ,  ,  ,141,69,72,0,2,3,1,0,0,0,0,135,0,1,0,0,3,5,136,10KS5624MSK
Spring,2019,120191 ,KM ,260 ,NDEG ,0075 ,Finance ,  ,  ,16,13,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,10KS0075NDEG
Spring,2019,120191 ,KM ,260 ,PHD ,5624 ,Finance ,  ,  ,18,13,5,0,0,1,0,0,0,0,0,17,0,0,0,0,1,0,18,10KS5624PHD
Spring,2019,120191 ,KM ,346 ,BS ,0071 ,Accountancy ,  ,  ,845,400,445,0,333,147,17,66,0,0,19,255,8,21,2,2,169,529,316,10KM0071BS
Spring,2019,120191 ,KM ,346 ,BS ,0071 ,Accountancy ,  ,  ,17,9,8,0,6,3,0,2,0,0,0,6,0,0,0,0,3,10,7,10KM8037BS
Spring,2019,120191 ,KM ,346 ,MAS ,5666 ,Accountancy ,  ,  ,204,99,105,0,67,30,2,14,0,0,5,86,0,4,1,0,34,101,103,10KS5666MAS
Spring,2019,120191 ,KM ,346 ,MS ,5666 ,Accountancy ,  ,  ,173,30,143,0,7,1,1,1,0,0,1,162,0,1,0,0,2,9,164,10KS5666MSK
Spring,2019,120191 ,KM ,346 ,MS ,5666 ,Accountancy ,  ,  ,233,135,98,0,116,47,25,20,0,0,3,1,21,27,2,0,58,65,168,1PKS5666MSU
Spring,2019,120191 ,KM ,346 ,NDEG ,5666 ,Accountancy ,  ,  ,33,20,13,0,16,9,4,2,0,0,1,0,1,5,1,0,11,1,32,1PKS5666NDEU
Spring,2019,120191 ,KM ,346 ,PHD ,5666 ,Accountancy ,  ,  ,15,9,6,0,7,0,0,0,0,0,0,8,0,0,0,0,0,1,14,10KS5666PHD
Spring,2019,120191 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,84,25,59,0,52,9,3,11,0,0,5,4,0,7,0,0,11,73,11,10KM1432BS
Spring,2019,120191 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,152,47,105,0,82,25,15,16,0,0,3,10,1,16,0,0,28,133,19,10KM8037BS
Spring,2019,120191 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,  ,  ,40,27,13,0,15,9,3,6,0,0,1,6,0,4,0,0,10,30,10,10KM5070BS
Spring,2019,120191 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,  ,  ,66,28,38,0,28,19,3,9,0,0,0,7,0,3,0,0,19,56,10,10KM8037BS
Spring,2019,120191 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,14,5,9,0,7,3,1,0,0,0,2,1,0,1,1,0,4,12,2,10KM5071BS
Spring,2019,120191 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,91,33,58,0,50,21,4,6,0,0,4,6,0,5,1,0,23,79,12,10KM8037BS
Spring,2019,120191 ,KM ,902 ,BS ,5072 ,Business Process Management ,  ,  ,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,10KM5072BS
Spring,2019,120191 ,KM ,902 ,BS ,5072 ,Business Process Management ,  ,  ,15,11,4,0,7,3,0,0,0,0,3,2,0,1,0,0,5,11,4,10KM8037BS
Spring,2019,120191 ,KM ,902 ,BS ,5073 ,Management ,0086 ,Entrepreneurship ,22,17,5,0,13,6,2,1,0,0,0,0,0,2,0,0,6,17,5,10KM5073BS
Spring,2019,120191 ,KM ,902 ,BS ,5073 ,Management ,0086 ,Entrepreneurship ,7,4,3,0,4,2,0,1,0,0,0,0,0,0,0,0,2,6,1,10KM8037BS
Spring,2019,120191 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,12,3,9,0,4,3,1,3,0,0,1,0,0,2,0,0,3,11,1,10KM5073BS
Spring,2019,120191 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,9,3,6,0,5,1,1,2,0,0,0,0,0,1,0,0,1,9,0,10KM8037BS
Spring,2019,120191 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,24,12,12,0,12,3,3,3,0,0,0,3,0,3,0,0,3,19,5,10KM5073BS
Spring,2019,120191 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,16,9,7,0,11,0,1,3,0,0,1,0,0,2,0,0,0,16,0,10KM8037BS
Spring,2019,120191 ,KM ,902 ,BS ,5597 ,Information Systems ,  ,  ,21,12,9,0,10,11,0,0,0,0,0,0,0,0,0,0,11,17,4,10KM5597BS
Spring,2019,120191 ,KM ,902 ,BS ,5597 ,Information Systems ,  ,  ,5,2,3,0,2,2,0,1,0,0,0,0,0,0,0,0,2,5,0,10KM8037BS
Spring,2019,120191 ,KM ,902 ,BS ,5600 ,Operations Management ,  ,  ,6,4,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,6,0,10KM5600BS
