term/year_code,coll,dept,degree,major_code,major_name,conc_code,concentration_name_(if_any),total,by_gender_men,by_gender_women,by_gender_unknown,by_self-reported_race/ethnicity_caucasian,by_self-reported_race/ethnicity_asian_american,by_self-reported_race/ethnicity_african_american,by_self-reported_race/ethnicity_hispanic,by_self-reported_race/ethnicity_native_american,by_self-reported_race/ethnicity_international,by_self-reported_race/ethnicity_unknown,by_residency_illinois,by_residency_non-illinois,academic_program_code,term,year,by_self-reported_race/ethnicity_hawaiian/pacific_isl,by_self-reported_race/ethnicity_multiracial,all_students_including_multiracial_and_hispanic_all_african_american,all_students_including_multiracial_and_hispanic_all_native_american,all_students_including_multiracial_and_hispanic_all_hawaiian/_pac_isl,all_students_including_multiracial_and_hispanic_all_asian,by_self-reported_race/ethnicity_all_african_american,by_self-reported_race/ethnicity_all_native_american,urm_urm
120071 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,4064 ,MBA ,20,14,6,0,14,2,2,0,0,1,1,20,0,10KS4064MBA,sp,07,,,,,,,,,
120071 ,KM ,260 ,BS ,0075 ,Finance ,  ,  ,649,482,166,1,440,91,21,37,1,45,14,561,88,10KM0075BS,sp,07,,,,,,,,,
120071 ,KM ,260 ,MS ,0075 ,Finance ,3927 ,International Program ,118,73,45,0,10,7,0,0,0,99,2,5,113,10KS3927MS,sp,07,,,,,,,,,
120071 ,KM ,260 ,NDEG ,0075 ,Finance ,  ,  ,18,16,2,0,0,1,0,0,0,17,0,1,17,10KS0075NDEG,sp,07,,,,,,,,,
120071 ,KM ,260 ,PHD ,0075 ,Finance ,  ,  ,13,6,7,0,4,0,0,0,0,9,0,2,11,10KS0075PHD,sp,07,,,,,,,,,
120071 ,KM ,346 ,BS ,0071 ,Accountancy ,  ,  ,681,380,296,5,375,130,32,55,1,79,9,564,117,10KM0071BS,sp,07,,,,,,,,,
120071 ,KM ,346 ,BS ,0071 ,Accountancy ,0072 ,Accountancy (BS/Master Prg) ,221,120,101,0,159,26,4,6,1,22,3,184,37,10KM0072BS,sp,07,,,,,,,,,
120071 ,KM ,346 ,MAS ,0071 ,Accountancy ,  ,  ,140,80,60,0,95,23,2,1,0,19,0,111,29,10KS0071MAS,sp,07,,,,,,,,,
120071 ,KM ,346 ,MS ,0071 ,Accountancy ,0193 ,Tax ,51,26,25,0,36,9,1,3,0,2,0,46,5,10KS0193MS,sp,07,,,,,,,,,
120071 ,KM ,346 ,MS ,0071 ,Accountancy ,0193 ,Tax ,22,8,13,1,10,3,2,0,0,0,7,20,2,10KS0193MS2,sp,07,,,,,,,,,
120071 ,KM ,346 ,MS ,0071 ,Accountancy ,3928 ,International Program ,80,32,48,0,7,4,0,1,0,67,1,9,71,10KS3928MS,sp,07,,,,,,,,,
120071 ,KM ,346 ,NDEG ,0071 ,Accountancy ,0073 ,Accountancy Postb ,38,28,10,0,25,4,1,2,0,3,3,34,4,10KM0073NDEG,sp,07,,,,,,,,,
120071 ,KM ,346 ,PHD ,0071 ,Accountancy ,  ,  ,21,12,9,0,7,1,1,0,0,12,0,4,17,10KS0071PHD,sp,07,,,,,,,,,
120071 ,KM ,902 ,BS ,0079 ,Business Administration ,0080 ,Marketing ,333,115,218,0,236,38,19,26,2,10,2,306,27,10KM0080BS,sp,07,,,,,,,,,
120071 ,KM ,902 ,BS ,0079 ,Business Administration ,0081 ,Organizational Administration ,74,29,45,0,56,8,6,2,0,2,0,67,7,10KM0081BS,sp,07,,,,,,,,,
120071 ,KM ,902 ,BS ,0079 ,Business Administration ,0082 ,Production ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KM0082BS,sp,07,,,,,,,,,
120071 ,KM ,902 ,BS ,0079 ,Business Administration ,0083 ,Management Science ,20,17,3,0,12,3,1,1,0,3,0,16,4,10KM0083BS,sp,07,,,,,,,,,
120071 ,KM ,902 ,BS ,0079 ,Business Administration ,0084 ,Industrial Distribution Mgt ,21,18,3,0,16,3,1,1,0,0,0,20,1,10KM0084BS,sp,07,,,,,,,,,
120071 ,KM ,902 ,BS ,0079 ,Business Administration ,0085 ,Management Info Systems ,52,38,14,0,34,7,5,3,0,2,1,42,10,10KM0085BS,sp,07,,,,,,,,,
120071 ,KM ,902 ,BS ,0079 ,Business Administration ,0086 ,Entrepreneurship ,77,53,24,0,48,6,14,4,0,4,1,71,6,10KM0086BS,sp,07,,,,,,,,,
120071 ,KM ,902 ,MS ,0079 ,Business Administration ,4063 ,Technology Mangement ,48,41,7,0,4,1,1,0,0,39,3,6,42,10KS4063MS,sp,07,,,,,,,,,
120071 ,KM ,902 ,PHD ,0079 ,Business Administration ,  ,  ,56,29,27,0,14,3,0,1,0,38,0,6,50,10KS0079PHD,sp,07,,,,,,,,,
120071 ,KM ,938 ,MBA ,9875 ,Business Administration (MBA) ,3924 ,Executive Program ,89,74,15,0,47,4,5,1,1,1,30,80,9,10KS3924MBA2,sp,07,,,,,,,,,
120071 ,KM ,952 ,BS ,0074 ,Economics ,  ,  ,6,5,1,0,4,1,0,0,0,1,0,5,1,10KM0074BS,sp,07,,,,,,,,,
120071 ,KM ,952 ,NDEG ,0067 ,Nondegree ,  ,  ,21,14,7,0,0,1,0,0,0,20,0,1,20,10KM0067NDEG,sp,07,,,,,,,,,
120071 ,KM ,952 ,NONE ,0070 ,Curric Unassigned ,  ,  ,676,398,278,0,427,76,39,72,3,46,13,581,95,10KM0070NONE,sp,07,,,,,,,,,
120071 ,KN ,335 ,NDEG ,0067 ,Nondegree ,  ,  ,1,0,1,0,0,0,0,0,0,1,0,0,1,10KN0067NDEG,sp,07,,,,,,,,,
120071 ,KN ,335 ,NONE ,0092 ,Education General ,  ,  ,78,6,71,1,60,5,3,4,2,1,3,76,2,10KN0092NONE,sp,07,,,,,,,,,
120071 ,KN ,335 ,NONE ,4089 ,Pre-Early Chld/Elem Ed/Spec Ed ,  ,  ,191,18,173,0,166,6,6,12,0,0,1,188,3,10KN4089NONE,sp,07,,,,,,,,,
120071 ,KN ,570 ,BS ,0093 ,Special Education ,  ,  ,68,6,62,0,59,2,4,2,0,0,1,66,2,10KN0093BS,sp,07,,,,,,,,,
120071 ,KN ,570 ,CAS ,0093 ,Special Education ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KS0093CAS,sp,07,,,,,,,,,
120071 ,KN ,570 ,EDM ,0093 ,Special Education ,  ,  ,32,0,32,0,25,0,1,1,0,3,2,28,4,10KS0093EDM,sp,07,,,,,,,,,
120071 ,KN ,570 ,MA ,0093 ,Special Education ,  ,  ,9,1,8,0,4,2,0,0,0,2,1,6,3,10KS0093MA,sp,07,,,,,,,,,
120071 ,KN ,570 ,MS ,0093 ,Special Education ,  ,  ,12,3,9,0,12,0,0,0,0,0,0,9,3,10KS0093MS,sp,07,,,,,,,,,
120071 ,KN ,570 ,PHD ,0093 ,Special Education ,  ,  ,32,9,23,0,18,0,3,1,0,10,0,18,14,10KS0093PHD,sp,07,,,,,,,,,
120071 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3957 ,ECh: Anthropology ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KN3957BS,sp,07,,,,,,,,,
120071 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3963 ,ECh: Earth Science ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KN3963BS,sp,07,,,,,,,,,
120071 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3967 ,ECh: History ,4,0,4,0,3,0,0,1,0,0,0,4,0,10KN3967BS,sp,07,,,,,,,,,
120071 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3968 ,ECh: Language arts ,13,0,13,0,10,0,2,0,0,0,1,13,0,10KN3968BS,sp,07,,,,,,,,,
120071 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3970 ,ECh: Mathematics ,2,0,2,0,2,0,0,0,0,0,0,2,0,10KN3970BS,sp,07,,,,,,,,,
120071 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3975 ,ECh: Psychology ,13,0,13,0,10,1,1,0,0,1,0,12,1,10KN3975BS,sp,07,,,,,,,,,
120071 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3976 ,ECh: Sociology ,4,0,4,0,3,0,1,0,0,0,0,4,0,10KN3976BS,sp,07,,,,,,,,,
120071 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,4006 ,ECh: French ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KN4006BS,sp,07,,,,,,,,,
120071 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,4014 ,ECh: Spanish ,11,0,11,0,6,0,1,4,0,0,0,11,0,10KN4014BS,sp,07,,,,,,,,,
120071 ,KN ,613 ,BS ,0095 ,Elementary Education ,3936 ,EIEd: Anthropology ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KN3936BS,sp,07,,,,,,,,,
120071 ,KN ,613 ,BS ,0095 ,Elementary Education ,3937 ,EIEd: Art ,2,0,2,0,2,0,0,0,0,0,0,2,0,10KN3937BS,sp,07,,,,,,,,,
